M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1719.89mb, Malloc-M=492mb, Available-M=43238mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: Modeling : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before DfgBuild: XpropProperties : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  DfgBuild: XpropProperties : M=1719.89mb, Malloc-M=492mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1719.89mb, Malloc-M=492mb, Available-M=43239mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1719.89mb, Malloc-M=492mb, Available-M=43239mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1719.89mb, Malloc-M=492mb, Available-M=43239mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Print statistics M=1719.89mb, Malloc-M=492mb, Available-M=43239mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  NldfgBuild : Print statistics M=1719.89mb, Malloc-M=492mb, Available-M=43238mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Cutpoint Insertion M=1719.89mb, Malloc-M=492mb, Available-M=43237mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  NldfgBuild : Cutpoint Insertion M=1719.89mb, Malloc-M=492mb, Available-M=43231mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Compute net equivalences M=1719.89mb, Malloc-M=492mb, Available-M=43235mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  NldfgBuild : Compute net equivalences M=1719.89mb, Malloc-M=492mb, Available-M=43234mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Eliminate bidirectionals M=1719.89mb, Malloc-M=492mb, Available-M=43234mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1719.89mb, Malloc-M=492mb, Available-M=43231mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Remove false combo loops M=1719.89mb, Malloc-M=492mb, Available-M=43231mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  NldfgBuild : Remove false combo loops M=1719.89mb, Malloc-M=492mb, Available-M=43231mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before NldfgBuild : Create dfg M=1719.89mb, Malloc-M=492mb, Available-M=43330mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Create graph function M=1719.89mb, Malloc-M=492mb, Available-M=43327mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Create graph function M=1719.89mb, Malloc-M=493mb, Available-M=43324mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Create scopes M=1719.89mb, Malloc-M=493mb, Available-M=43321mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Create scopes M=1719.89mb, Malloc-M=493mb, Available-M=43319mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Initial setup M=1719.89mb, Malloc-M=493mb, Available-M=43317mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Initial setup M=1719.89mb, Malloc-M=493mb, Available-M=43312mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Create graph M=1719.89mb, Malloc-M=493mb, Available-M=43312mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Create graph M=1719.89mb, Malloc-M=493mb, Available-M=43312mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1719.89mb, Malloc-M=493mb, Available-M=43312mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1719.89mb, Malloc-M=494mb, Available-M=43534mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Compute dependencies M=1719.89mb, Malloc-M=494mb, Available-M=43533mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Compute dependencies M=1719.89mb, Malloc-M=494mb, Available-M=43531mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43530mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43530mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Compute templates M=1719.89mb, Malloc-M=494mb, Available-M=43529mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Compute templates M=1719.89mb, Malloc-M=494mb, Available-M=43525mb, T=0s CPU=0.03s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43525mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43525mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43525mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1719.89mb, Malloc-M=494mb, Available-M=43522mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1719.89mb, Malloc-M=494mb, Available-M=43522mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1719.89mb, Malloc-M=494mb, Available-M=43522mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1719.89mb, Malloc-M=494mb, Available-M=43521mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1719.89mb, Malloc-M=495mb, Available-M=43509mb, T=0s CPU=0.09s W=(2024-12-07 00:19:00)
